customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment,high_value_customer_flag,combined_risk_level,customer_value_category
C00001,Sanjay Verma,Retail,Pune,Maharashtra,17373.0,Low,19,97878.16,333.25,243.82,89.43,1,23366.27,110.17,1322.04,1.0,180.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,333.25,1746.1599999999999,-1412.9099999999999,-423.9789947486871,Loss Making,0,Low,Low Value - Low/Medium Risk
C00002,Deepa Rao,Mass Affluent,Kochi,Kerala,48703.0,Low,32,246537.94,507.47,469.92,37.55000000000001,2,116501.6,139.76,1677.12,0.0,0.0,1.0,1806925.33,1262215.49,156514.72076,0.0,2252696.44,24.0,22.0,10.0,0,30,0,Medium,25.0,25.0,Medium,157022.19076,2147.04,154875.15076,98.6326518630213,High Profit,0,Medium,Low Value - Low/Medium Risk
C00003,Rohit Sharma,Premium,Kolkata,West Bengal,142189.0,Medium,30,254059.78,585.38,425.75,159.63,2,172156.81,275.85,3310.2000000000003,4.0,1885.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,585.38,5621.400000000001,-5036.02,-860.2992927670915,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00004,Rahul Singh,Retail,Kolkata,West Bengal,35173.0,Medium,41,280049.4,742.67,762.25,-19.58000000000004,2,528493.62,313.89,3766.68,3.0,618.84,1.0,109716.15,74916.94,15934.833138,0.0,78180.38,24.0,24.0,10.0,0,35,0,Medium,70.0,70.0,Critical,16677.503138,5147.77,11529.733138,69.13344906965892,Medium Profit,1,Critical,High Value - High Risk
C00005,Vishal Verma,Retail,Mumbai,Maharashtra,65051.0,Low,26,156373.11,436.23,369.39,66.84000000000003,1,319384.04,56.53,678.36,2.0,840.53,1.0,262340.01,82838.0,12856.4576,0.0,77666.48,10.0,9.0,10.0,0,30,0,Medium,35.0,35.0,Medium,13292.6876,1888.28,11404.407599999999,85.79459581973475,Medium Profit,1,Medium,High Value - Low/Medium Risk
C00006,Meena Iyer,Retail,Hyderabad,Telangana,25706.0,Low,47,369184.77,995.8,726.98,268.81999999999994,2,107220.08,270.89,3250.68,1.0,83.32,1.0,1645034.15,458940.06,77560.87014,1.0,1351485.9100000001,22.0,20.0,58.0,0,30,0,Medium,70.0,70.0,Critical,78556.67014,4060.98,74495.69014,94.83050899081809,High Profit,1,Critical,High Value - High Risk
C00007,Kavya Rao,Mass Affluent,Hyderabad,Telangana,50165.0,Medium,45,414626.18,679.49,764.73,-85.24000000000001,2,71056.54000000001,180.35999999999999,2164.3199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,679.49,2929.0499999999997,-2249.5599999999995,-331.0659465187125,Loss Making,1,Medium,High Value - Low/Medium Risk
C00008,Anitha Gupta,Mass Affluent,Pune,Maharashtra,51752.0,Low,24,98068.27,430.52,341.21,89.31,1,68324.76,101.17,1214.04,2.0,311.79,1.0,899386.34,503658.96,65223.835320000006,0.0,325203.02999999997,7.0,7.0,10.0,0,5,0,Low,25.0,25.0,Medium,65654.35532,1867.04,63787.31532,97.15625872662974,High Profit,0,Medium,Low Value - Low/Medium Risk
C00009,Lakshmi Kumar,Retail,Chennai,Tamil Nadu,26063.0,Low,17,97727.59,239.81,199.14,40.670000000000016,1,46924.48,120.15,1441.8000000000002,1.0,300.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,239.81,1941.08,-1701.27,-709.4241274342187,Loss Making,0,Low,Low Value - Low/Medium Risk
C00010,Kavya Gupta,Retail,Bengaluru,Karnataka,43548.0,Medium,26,192137.11000000002,426.46,467.32,-40.860000000000014,1,87806.64,127.68,1532.16,4.0,1697.67,1.0,1094741.95,329562.9,61661.21859000001,1.0,1068081.06,10.0,10.0,59.0,0,20,0,Medium,70.0,70.0,Critical,62087.67859000001,3697.15,58390.52859000001,94.04527583578319,High Profit,0,Critical,Low Value - High Risk
