customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment,high_value_customer_flag,combined_risk_level
C00025,Vijay Sharma,Retail,Hyderabad,Telangana,43811.0,Low,46,495487.41000000003,986.86,623.94,362.91999999999996,3,370191.69,320.46000000000004,3845.5200000000004,1.0,499.18,1.0,1932918.89,1734777.59,304453.46704500006,1.0,388045.56,4.0,4.0,19.0,2,40,0,High,70.0,70.0,Critical,305440.32704500004,4968.640000000001,300471.687045,98.37328618389411,High Profit,1,Critical
C00811,Naveen Rao,Premium,Chennai,Tamil Nadu,16262.0,Low,21,139085.06,379.2,323.8,55.39999999999998,1,855743.3,82.18,986.1600000000001,5.0,2134.1099999999997,1.0,1350361.48,1239937.36,225916.58699200003,1.0,1355253.04,19.0,19.0,53.0,0,20,0,Medium,85.0,85.0,Critical,226295.78699200004,3444.0699999999997,222851.71699200003,98.47806711482359,High Profit,1,Critical
C00724,Kavya Reddy,Retail,Mumbai,Maharashtra,24142.0,Medium,45,425884.58,861.0,786.27,74.73000000000002,2,195902.58000000002,250.88,3010.56,2.0,629.6800000000001,1.0,1432477.74,1336208.4,212590.75643999997,0.0,533114.8,9.0,9.0,9.0,1,45,0,High,35.0,35.0,Medium,213451.75643999997,4426.51,209025.24643999996,97.92622460745865,High Profit,1,High
C00418,Rahul Gupta,Retail,Mumbai,Maharashtra,58442.0,Low,22,324379.92,432.17,354.57,77.60000000000002,1,303064.28,82.82,993.8399999999999,3.0,844.74,1.0,1908292.93,1044551.23,186243.484309,1.0,800625.26,17.0,17.0,58.0,0,35,0,Medium,70.0,70.0,Critical,186675.654309,2193.1499999999996,184482.504309,98.82515478083194,High Profit,1,Critical
C00097,Vishal Singh,Retail,Kolkata,West Bengal,76354.0,Low,31,294716.04,554.39,444.99,109.39999999999998,2,296313.85,222.79000000000002,2673.4800000000005,2.0,554.54,1.0,1711937.96,1001711.0,183713.7974,1.0,743042.04,17.0,15.0,58.0,0,25,0,Medium,70.0,70.0,Critical,184268.18740000002,3673.01,180595.17740000002,98.00670422180535,High Profit,1,Critical
C00932,Anitha Gupta,Sme Owner,Delhi,Delhi,41072.0,Low,32,326957.25,581.78,508.86,72.91999999999996,2,1038435.65,177.68,2132.16,3.0,1404.69,1.0,1699609.56,1056881.04,178084.45524,1.0,1244027.87,19.0,18.0,54.0,0,20,0,Medium,70.0,70.0,Critical,178666.23524,4045.71,174620.52524000002,97.73560460678793,High Profit,1,Critical
C00854,Naveen Kumar,Senior Citizen,Hyderabad,Telangana,29964.0,Medium,21,459266.7,414.88,385.67,29.20999999999998,1,79534.33,44.19,530.28,1.0,132.83,1.0,1745649.37,1044156.59,169884.277193,1.0,1744223.41,20.0,18.0,58.0,3,70,3,Critical,70.0,70.0,Critical,170299.157193,1048.78,169250.377193,99.3841543215558,High Profit,1,Critical
C00446,Meena Iyer,Senior Citizen,Chennai,Tamil Nadu,52087.0,Low,39,257246.48,688.81,740.02,-51.210000000000036,2,297306.32,245.13,2941.56,4.0,1276.51,1.0,1450779.99,1012098.75,155053.52850000001,1.0,866657.35,12.0,12.0,41.0,1,45,0,High,70.0,70.0,Critical,155742.3385,4958.09,150784.24850000002,96.81647903341326,High Profit,1,Critical
C00671,Sanjay Gupta,Mass Affluent,Coimbatore,Tamil Nadu,23325.0,Medium,40,284497.07,739.92,650.43,89.49000000000001,2,440826.66,197.98000000000002,2375.76,3.0,674.59,1.0,1222164.57,705442.61,120348.50926599998,0.0,902395.38,24.0,23.0,10.0,1,40,0,High,40.0,40.0,Medium,121088.42926599998,3700.78,117387.64926599998,96.94373771099933,High Profit,1,High
C00034,Kavya Patel,Senior Citizen,Delhi,Delhi,92875.0,Low,40,489196.25,687.06,666.41,20.649999999999977,2,200389.43000000002,192.11,2305.32,0.0,0.0,1.0,1205059.9,622906.49,118227.651802,0.0,805106.77,24.0,22.0,10.0,0,35,0,Medium,60.0,60.0,High,118914.71180199999,2971.73,115942.981802,97.50095681605141,High Profit,1,High
C00350,Rohit Reddy,Sme Owner,Delhi,Delhi,49454.0,Medium,22,464686.24,448.81,341.63,107.18,1,32170.09,61.38,736.5600000000001,3.0,895.86,1.0,1035295.79,676463.38,112495.860094,0.0,573397.0700000001,10.0,10.0,9.0,1,70,1,Critical,50.0,50.0,High,112944.670094,1974.0500000000002,110970.620094,98.25219729416442,High Profit,1,Critical
C00044,Suresh Kumar,Mass Affluent,Coimbatore,Tamil Nadu,24889.0,Low,62,496436.3,1065.13,1019.53,45.600000000000136,3,408155.66000000003,459.98,5519.76,1.0,291.97,1.0,862768.54,685635.27,114912.47125200002,1.0,465825.0,19.0,18.0,59.0,0,35,0,Medium,90.0,90.0,Critical,115977.60125200002,6831.26,109146.34125200003,94.10984541303212,High Profit,1,Critical
C00818,Deepa Nair,Senior Citizen,Kolkata,West Bengal,36324.0,Low,24,156430.18,362.04,353.52,8.520000000000039,1,430519.17,39.52,474.24,2.0,494.65000000000003,1.0,718686.48,586258.3,108457.78550000001,0.0,623702.39,24.0,20.0,10.0,0,20,0,Medium,55.0,55.0,High,108819.8255,1322.41,107497.4155,98.78477107096629,High Profit,1,High
C00974,Priya Reddy,Student,Hyderabad,Telangana,90219.0,Low,44,292623.38,707.07,753.4399999999999,-46.36999999999989,2,295317.55,158.61,1903.3200000000002,4.0,2006.8000000000002,1.0,818108.14,648264.89,107093.35982799999,1.0,409574.96,18.0,16.0,47.0,0,20,0,Medium,70.0,70.0,Critical,107800.429828,4663.56,103136.869828,95.67389480038169,High Profit,1,Critical
C00208,Rohit Iyer,Retail,Delhi,Delhi,47851.0,Low,18,132201.05,280.29,325.77,-45.47999999999996,1,329971.66,66.95,803.4000000000001,0.0,0.0,1.0,934632.68,647224.43,101614.23551000001,1.0,414944.66000000003,19.0,17.0,57.0,0,35,0,Medium,70.0,70.0,Critical,101894.52551,1129.17,100765.35551000001,98.89182466442794,High Profit,1,Critical
C00585,Meena Iyer,Student,Hyderabad,Telangana,31124.0,Low,19,219196.9,337.51,300.85,36.65999999999997,1,341334.78,82.16,985.92,2.0,318.34000000000003,1.0,836301.5,644348.98,99874.0919,1.0,847182.69,21.0,18.0,51.0,0,30,0,Medium,70.0,70.0,Critical,100211.6019,1605.1100000000001,98606.4919,98.39827927149422,High Profit,1,Critical
C00344,Sanjay Verma,Retail,Kolkata,West Bengal,23243.0,Low,35,386001.74,650.74,616.15,34.59000000000003,2,123428.51,178.77,2145.2400000000002,0.0,0.0,1.0,1466176.09,675227.3,98515.66307000001,1.0,658498.9400000001,12.0,12.0,39.0,0,30,0,Medium,70.0,70.0,Critical,99166.40307000001,2761.3900000000003,96405.01307000002,97.21539764021614,High Profit,1,Critical
C00879,Meena Verma,Premium,Hyderabad,Telangana,44727.0,Low,46,362340.20999999996,772.52,759.83,12.68999999999994,2,109195.78,218.36,2620.32,2.0,401.39,1.0,1779917.46,760174.57,96238.10056199999,0.0,1338064.91,24.0,19.0,10.0,7,55,0,High,30.0,30.0,Medium,97010.620562,3781.54,93229.080562,96.10193195539534,High Profit,1,High
C00408,Suresh Kumar,Retail,Kolkata,West Bengal,55419.0,Low,59,336667.41000000003,1131.14,966.97,164.17000000000007,3,201446.64999999997,241.38,2896.56,2.0,607.79,1.0,1353487.69,648438.05,96098.51901,1.0,928838.4,18.0,17.0,59.0,0,25,0,Medium,70.0,70.0,Critical,97229.65901,4471.32,92758.33901,95.4012797684088,High Profit,1,Critical
C00957,Karthik Nair,Student,Delhi,Delhi,69664.0,Low,42,320527.77,741.01,647.09,93.91999999999996,2,190666.96000000002,157.63,1891.56,3.0,627.5,1.0,1411031.04,518326.91,94594.661075,1.0,1303166.7,17.0,16.0,43.0,0,35,0,Medium,70.0,70.0,Critical,95335.67107499999,3166.15,92169.521075,96.67894507449452,High Profit,1,Critical
C00810,Anitha Gupta,Student,Hyderabad,Telangana,18923.0,Low,18,125750.65999999999,248.82,306.02,-57.19999999999999,1,333059.32,145.28,1743.3600000000001,2.0,1568.71,1.0,724365.27,575863.52,95247.826208,1.0,258460.14,13.0,12.0,58.0,0,25,0,Medium,70.0,70.0,Critical,95496.646208,3618.09,91878.55620800001,96.2112910309756,High Profit,1,Critical
C00775,Ajay Singh,Sme Owner,Mumbai,Maharashtra,38744.0,High,36,439848.49,550.05,478.54,71.50999999999993,2,125577.49,193.05,2316.6000000000004,7.0,2718.45,1.0,813028.46,516625.42,89944.485622,1.0,289696.55,4.0,3.0,47.0,3,40,0,High,70.0,70.0,Critical,90494.535622,5513.59,84980.945622,93.90726748073439,High Profit,1,Critical
C00748,Rohit Reddy,Mass Affluent,Madurai,Tamil Nadu,16799.0,Low,52,339668.46,883.24,830.76,52.48000000000002,3,385767.18000000005,327.15,3925.7999999999997,3.0,920.23,1.0,1945035.02,680078.07,89634.289626,1.0,767101.84,19.0,18.0,57.0,0,35,0,Medium,70.0,70.0,Critical,90517.529626,5676.789999999999,84840.73962600001,93.72851863782039,High Profit,1,Critical
C00006,Meena Iyer,Retail,Hyderabad,Telangana,25706.0,Low,47,369184.77,995.8,726.98,268.81999999999994,2,107220.08,270.89,3250.68,1.0,83.32,1.0,1645034.15,458940.06,77560.87014,1.0,1351485.9100000001,22.0,20.0,58.0,0,30,0,Medium,70.0,70.0,Critical,78556.67014,4060.98,74495.69014,94.83050899081809,High Profit,1,Critical
C00445,Anitha Iyer,Retail,Chennai,Tamil Nadu,54799.0,Low,52,387019.76,990.24,839.98,150.26,3,355415.54,299.65,3595.7999999999997,2.0,182.2,1.0,1061697.78,514138.85,73521.85555000001,1.0,171927.33000000002,3.0,3.0,9.0,0,35,0,Medium,70.0,70.0,Critical,74512.09555000001,4617.98,69894.11555000002,93.80237535139354,High Profit,1,Critical
C00346,Rohit Verma,Premium,Mumbai,Maharashtra,24576.0,Low,44,440254.06,718.98,661.31,57.67000000000007,2,158505.19,321.94,3863.2799999999997,5.0,1826.4,1.0,1389059.35,479619.56,73046.05898799999,1.0,483402.06,15.0,15.0,57.0,0,30,0,Medium,70.0,70.0,Critical,73765.03898799999,6350.99,67414.04898799998,91.39024382399747,High Profit,1,Critical
C00435,Pooja Sharma,Premium,Hyderabad,Telangana,85472.0,High,21,309137.58999999997,366.34,344.76,21.579999999999984,1,12012.96,170.53,2046.3600000000001,2.0,568.98,1.0,516075.76,427205.32,68011.08694400001,1.0,215684.9,11.0,10.0,44.0,0,35,0,Medium,70.0,70.0,Critical,68377.426944,2960.1,65417.32694400001,95.67093976434026,High Profit,1,Critical
C00699,Priya Singh,Retail,Kochi,Kerala,79180.0,Low,17,118845.83,278.88,273.32,5.560000000000002,1,288420.58,136.97,1643.6399999999999,1.0,304.88,1.0,827588.28,400470.08,66277.79824,1.0,234352.03,12.0,12.0,36.0,0,5,0,Low,70.0,70.0,Critical,66556.67824000001,2221.8399999999997,64334.83824000001,96.66173243804603,High Profit,1,Critical
C00054,Lakshmi Singh,Premium,Kolkata,West Bengal,31983.0,Low,56,515688.6,906.34,898.6899999999999,7.650000000000091,3,279175.27999999997,325.12,3901.44,1.0,157.26,1.0,515237.52,384408.67,64849.742629,1.0,175438.91,9.0,8.0,56.0,0,30,0,Medium,70.0,70.0,Critical,65756.082629,4957.39,60798.692629,92.46094079543956,High Profit,1,Critical
C00370,Meena Sharma,Senior Citizen,Delhi,Delhi,75121.0,Low,12,69921.81,192.15,234.54,-42.389999999999986,1,332266.27,168.96,2027.52,2.0,294.09,1.0,742920.8,448899.36,61095.202895999995,1.0,666780.7,10.0,9.0,37.0,0,0,0,Low,70.0,70.0,Critical,61287.352896,2556.15,58731.202895999995,95.82923738876829,High Profit,1,Critical
C00859,Rahul Rao,Mass Affluent,Pune,Maharashtra,24258.0,Medium,38,310467.74,754.25,535.54,218.71000000000004,2,70960.61,265.18,3182.16,1.0,227.61,1.0,1871535.27,414996.09,58680.44712600001,1.0,1640461.28,10.0,9.0,48.0,0,20,0,Medium,70.0,70.0,Critical,59434.69712600001,3945.31,55489.38712600001,93.36194144030709,High Profit,1,Critical
C00596,Geetha Verma,Senior Citizen,Kolkata,West Bengal,25192.0,Low,47,734725.68,844.6800000000001,742.57,102.11000000000001,2,114390.16999999998,246.10000000000002,2953.2000000000003,4.0,1204.49,1.0,771070.43,317898.47,50609.436424,1.0,741850.6799999999,19.0,18.0,57.0,10,70,4,Critical,70.0,70.0,Critical,51454.116424,4900.26,46553.856424,90.47644709391152,High Profit,1,Critical
