customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment
C00114,Sanjay Verma,Retail,Hyderabad,Telangana,121481.0,Medium,34,289734.12,546.2,592.02,-45.819999999999936,2,47360.509999999995,311.21,3734.5199999999995,6.0,3147.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,Medium,0.0,0.0,,546.2,7473.829999999999,-6927.629999999999,-1268.3321127792015,Loss Making
C00357,Priya Verma,Student,Coimbatore,Tamil Nadu,82704.0,Low,53,361755.06,789.53,819.41,-29.879999999999995,3,349270.47000000003,342.36,4108.32,5.0,2586.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,Medium,0.0,0.0,,789.53,7513.92,-6724.39,-851.6953124010488,Loss Making
C00661,Rahul Iyer,Student,Madurai,Tamil Nadu,51842.0,Low,39,287193.94,594.75,613.2,-18.450000000000045,2,95601.68,323.16999999999996,3878.0399999999995,5.0,2341.2799999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,0,High,0.0,0.0,,594.75,6832.5199999999995,-6237.7699999999995,-1048.8053804119377,Loss Making
C00779,Rohit Sharma,Retail,Kolkata,West Bengal,43506.0,Medium,60,386083.69,1111.12,957.0699999999999,154.04999999999995,3,530622.87,402.7,4832.4,2.0,1246.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,0,High,0.0,0.0,,1111.12,7036.049999999999,-5924.929999999999,-533.2394340845274,Loss Making
C00493,Karthik Singh,Student,Mumbai,Maharashtra,83267.0,High,57,426439.33,926.5,946.38,-19.879999999999995,3,1540927.0299999998,452.77,5433.24,1.0,432.59,1.0,1523098.2,0.0,0.0,0.0,975479.28,24.0,24.0,10.0,0,30,0,Medium,60.0,60.0,High,926.5,6812.21,-5885.71,-635.2628170534268,Loss Making
C00542,Suresh Singh,Retail,Mumbai,Maharashtra,37766.0,Low,56,414690.17,1027.15,832.68,194.47000000000014,3,304023.3,457.83,5493.96,2.0,482.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,Medium,0.0,0.0,,1027.15,6809.02,-5781.870000000001,-562.9041522659787,Loss Making
C00048,Arun Rao,Retail,Bengaluru,Karnataka,52602.0,Low,54,533512.75,970.48,764.2,206.27999999999997,3,1557108.93,374.52,4494.24,5.0,1452.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,970.48,6710.82,-5740.34,-591.4949303437475,Loss Making
C00904,Naveen Iyer,Student,Bengaluru,Karnataka,44980.0,Medium,48,411841.29,902.33,876.5,25.83000000000004,3,424716.25,430.84,5170.08,3.0,443.21000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,0,High,0.0,0.0,,902.33,6489.79,-5587.46,-619.2257821417885,Loss Making
C00242,Suresh Singh,Retail,Bengaluru,Karnataka,45049.0,Low,41,325481.28,721.63,638.16,83.47000000000003,2,50567.16,298.51,3582.12,6.0,1977.65,1.0,413109.15,0.0,0.0,0.0,522164.82,24.0,21.0,10.0,0,35,0,Medium,25.0,25.0,Medium,721.63,6197.93,-5476.3,-758.879204024223,Loss Making
C00121,Suresh Iyer,Retail,Chennai,Tamil Nadu,78722.0,High,51,531007.6,833.83,755.5600000000001,78.26999999999998,3,2020851.5699999998,370.96,4451.5199999999995,3.0,1074.3,1.0,87489.86,0.0,0.0,0.0,90205.54,19.0,17.0,10.0,8,70,4,Critical,40.0,40.0,Medium,833.83,6281.38,-5447.55,-653.3166232925176,Loss Making
C00942,Priya Verma,Retail,Kochi,Kerala,165687.0,Low,60,501758.5,1120.39,864.65,255.74000000000012,3,353695.18,402.96,4835.5199999999995,2.0,814.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,0,High,0.0,0.0,,1120.39,6514.449999999999,-5394.059999999999,-481.444854024045,Loss Making
C00377,Divya Kumar,Sme Owner,Pune,Maharashtra,104832.0,Low,39,305875.85,671.03,624.47,46.559999999999945,2,324788.99,312.06,3744.7200000000003,6.0,1653.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,671.03,6023.05,-5352.02,-797.5828204402188,Loss Making
C00624,Lakshmi Gupta,Retail,Coimbatore,Tamil Nadu,153611.0,Low,40,334287.15,649.5,702.48,-52.98000000000002,2,176867.49,267.84000000000003,3214.0800000000004,4.0,2051.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,649.5,5967.84,-5318.34,-818.8360277136259,Loss Making
C00084,Sanjay Verma,Senior Citizen,Chennai,Tamil Nadu,62239.0,Medium,35,226349.09,590.77,569.25,21.519999999999982,2,215324.89,216.55,2598.6000000000004,3.0,2676.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,Medium,0.0,0.0,,590.77,5844.400000000001,-5253.630000000001,-889.2851702016015,Loss Making
C00354,Divya Singh,Mass Affluent,Coimbatore,Tamil Nadu,114753.0,Low,59,492517.02,1060.11,989.37,70.7399999999999,3,211831.49,411.52,4938.24,1.0,369.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,1060.11,6296.7699999999995,-5236.66,-493.9732669251304,Loss Making
