customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment,high_value_customer_flag,combined_risk_level
C00842,Pooja Nair,Mass Affluent,Delhi,Delhi,32096.0,Low,14,67835.48,170.07999999999998,240.69,-70.61000000000001,1,1822133.22,56.22,674.64,1.0,317.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,170.07999999999998,1233.31,-1063.23,-625.1352304797743,Loss Making,1,Low
C00449,Suresh Reddy,Retail,Delhi,Delhi,35758.0,Low,17,80014.1,249.37,293.32,-43.94999999999999,1,743721.93,104.65,1255.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,249.37,1549.1200000000001,-1299.75,-521.2134579139431,Loss Making,1,Low
C00846,Rahul Patel,Premium,Chennai,Tamil Nadu,45465.0,Low,12,40976.84,220.25,180.09,40.16,1,273849.1,86.88,1042.56,1.0,449.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,220.25,1672.6,-1452.35,-659.4097616345061,Loss Making,1,Low
C00321,Rahul Rao,Mass Affluent,Mumbai,Maharashtra,27219.0,Low,15,68519.92,264.37,251.43,12.939999999999998,1,461950.0,122.87,1474.44,1.0,105.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Low,0.0,0.0,,264.37,1830.9,-1566.5300000000002,-592.5521050043501,Loss Making,1,Low
C00154,Pooja Iyer,Retail,Madurai,Tamil Nadu,108851.0,Medium,13,75504.45999999999,225.24,188.75,36.49000000000001,1,448679.75,134.02,1608.2400000000002,1.0,132.46,0.0,0.0,0.0,0.0,0.0,1481529.85,24.0,22.0,10.0,0,5,0,Low,0.0,0.0,,225.24,1929.4500000000003,-1704.2100000000003,-756.6196057538626,Loss Making,1,Low
C00317,Priya Gupta,Sme Owner,Kolkata,West Bengal,37064.0,Low,14,60214.65,234.48,227.78,6.699999999999989,1,310202.11,135.0,1620.0,1.0,111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,234.48,1958.98,-1724.5,-735.4571818491983,Loss Making,1,Low
C00304,Lakshmi Iyer,Mass Affluent,Chennai,Tamil Nadu,68988.0,Low,36,204880.93,642.75,661.58,-18.83000000000004,2,349008.92,171.35000000000002,2056.2000000000003,2.0,497.90999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Low,0.0,0.0,,642.75,3215.69,-2572.94,-400.3018280824582,Loss Making,1,Low
C00820,Suresh Verma,Retail,Chennai,Tamil Nadu,69722.0,Medium,33,188249.74,627.9,488.71,139.19,2,468405.72,234.49,2813.88,1.0,483.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Low,0.0,0.0,,627.9,3785.92,-3158.02,-502.94951425386205,Loss Making,1,Low
C00490,Priya Sharma,Mass Affluent,Chennai,Tamil Nadu,36096.0,Medium,14,55625.94,238.96,282.12,-43.16,1,257352.64,136.74,1640.88,5.0,1590.8400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Low,0.0,0.0,,238.96,3513.84,-3274.88,-1370.4720455306328,Loss Making,1,Low
C00629,Ajay Singh,Mass Affluent,Mumbai,Maharashtra,29895.0,Low,19,74904.32,323.42,269.94,53.48000000000002,1,352867.45,162.11,1945.3200000000002,3.0,1564.3600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Low,0.0,0.0,,323.42,3779.6200000000003,-3456.2000000000003,-1068.641395089976,Loss Making,1,Low
C00231,Arun Sharma,Retail,Chennai,Tamil Nadu,60785.0,Low,14,96988.99,258.58,198.13,60.44999999999999,1,305893.53,161.82,1941.84,4.0,1962.5299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,Low,0.0,0.0,,258.58,4102.5,-3843.92,-1486.5496171397633,Loss Making,1,Low
C00407,Priya Gupta,Mass Affluent,Kochi,Kerala,38020.0,Low,39,168777.16,797.77,565.76,232.01,2,1293432.0699999998,265.67,3188.04,5.0,1815.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,0,Low,0.0,0.0,,797.77,5568.82,-4771.049999999999,-598.048309663186,Loss Making,1,Low
