customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment
C00265,Vijay Singh,Mass Affluent,Coimbatore,Tamil Nadu,97918.0,Low,13,86105.36,179.93,237.05,-57.120000000000005,1,413330.88,34.34,412.08000000000004,5.0,1834.65,1.0,2324978.44,1957200.72,354644.770464,0.0,2009618.63,24.0,20.0,10.0,0,25,0,Medium,35.0,35.0,Medium,354824.700464,2483.78,352340.92046399997,99.29999799992729,High Profit
C00409,Ajay Verma,Premium,Coimbatore,Tamil Nadu,56686.0,Low,10,90249.98999999999,146.1,92.77,53.33,1,236148.82,136.9,1642.8000000000002,0.0,0.0,1.0,1916684.47,1732907.52,322840.67097599996,0.0,1475713.62,24.0,22.0,10.0,0,30,0,Medium,55.0,55.0,High,322986.77097599994,1735.5700000000002,321251.20097599993,99.46264981851873,High Profit
C00769,Pooja Iyer,Retail,Madurai,Tamil Nadu,44680.0,Low,20,157221.38,343.13,313.37,29.75999999999999,1,29039.62,154.88,1858.56,3.0,1869.85,1.0,2169304.44,1518106.86,324874.86804000003,0.0,3101591.6,24.0,19.0,10.0,0,30,0,Medium,55.0,55.0,High,325217.99804000003,4041.7799999999997,321176.21804,98.7572090030814,High Profit
C00734,Rohit Verma,Mass Affluent,Bengaluru,Karnataka,17279.0,Low,22,151674.63999999998,419.99,302.18,117.81,1,32530.94,110.19,1322.28,3.0,914.94,1.0,2389091.14,1945009.44,307894.994352,0.0,2751008.09,12.0,11.0,8.0,0,20,0,Medium,35.0,35.0,Medium,308314.984352,2539.4,305775.584352,99.17636179592854,High Profit
C00025,Vijay Sharma,Retail,Hyderabad,Telangana,43811.0,Low,46,495487.41000000003,986.86,623.94,362.91999999999996,3,370191.69,320.46000000000004,3845.5200000000004,1.0,499.18,1.0,1932918.89,1734777.59,304453.46704500006,1.0,388045.56,4.0,4.0,19.0,2,40,0,High,70.0,70.0,Critical,305440.32704500004,4968.640000000001,300471.687045,98.37328618389411,High Profit
C00498,Sanjay Gupta,Premium,Pune,Maharashtra,92800.0,Medium,33,309039.45,535.39,470.82,64.57,2,159373.71,74.09,889.08,3.0,940.03,1.0,1771697.51,1669257.79,296960.960841,0.0,1512439.43,24.0,22.0,10.0,0,25,0,Medium,45.0,45.0,Medium,297496.35084100004,2299.9300000000003,295196.42084100004,99.22690480286623,High Profit
C00365,Vishal Gupta,Retail,Coimbatore,Tamil Nadu,39949.0,High,37,272104.91,601.58,603.25,-1.669999999999959,2,188583.27000000002,116.69,1400.28,0.0,0.0,1.0,2321068.78,2037501.44,296048.95923199994,0.0,601564.01,9.0,7.0,9.0,0,20,0,Medium,30.0,30.0,Medium,296650.53923199995,2003.53,294647.0092319999,99.32461609367475,High Profit
C00059,Rahul Verma,Retail,Chennai,Tamil Nadu,115994.0,Medium,19,103287.03,409.29,272.40999999999997,136.88000000000005,1,50840.18,74.36,892.3199999999999,3.0,1162.69,1.0,2287209.23,2064689.83,290914.79704700003,0.0,517635.07,8.0,7.0,8.0,0,0,0,Low,30.0,30.0,Medium,291324.087047,2327.42,288996.667047,99.20108906078045,High Profit
C00217,Pooja Gupta,Premium,Bengaluru,Karnataka,38128.0,Low,31,219512.46,557.76,466.03000000000003,91.72999999999996,1,141069.46,114.52,1374.24,0.0,0.0,1.0,1928709.52,1569180.04,280726.30915600003,0.0,2277454.89,12.0,10.0,9.0,0,25,0,Medium,60.0,60.0,High,281284.06915600004,1840.27,279443.799156,99.34576102886957,High Profit
C00552,Meena Iyer,Mass Affluent,Chennai,Tamil Nadu,41988.0,Medium,31,190579.26,497.04,531.18,-34.13999999999993,2,499873.47000000003,244.17000000000002,2930.04,3.0,1543.3400000000001,1.0,1602868.34,1477665.78,271003.904052,0.0,2198470.65,24.0,22.0,10.0,0,35,0,Medium,40.0,40.0,Medium,271500.944052,5004.5599999999995,266496.384052,98.1567062252861,High Profit
