customer_id,total_transactions,total_transaction_value,suspicious_transactions,max_fraud_risk_score,average_fraud_risk_score,confirmed_fraud_transactions,customer_name,customer_segment,city,annual_income,declared_risk_segment,customer_fraud_risk_level
C00001,19,97878.16,0,0,0.0,0,Sanjay Verma,Retail,Pune,17373.0,Low,Low
C00002,32,246537.94,0,30,3.4375,0,Deepa Rao,Mass Affluent,Kochi,48703.0,Low,Medium
C00003,30,254059.78,0,30,2.6666666666666665,0,Rohit Sharma,Premium,Kolkata,142189.0,Medium,Medium
C00004,41,280049.4,0,35,6.7073170731707314,0,Rahul Singh,Retail,Kolkata,35173.0,Medium,Medium
C00005,26,156373.11,0,30,1.1538461538461537,0,Vishal Verma,Retail,Mumbai,65051.0,Low,Medium
C00006,47,369184.77,0,30,11.27659574468085,0,Meena Iyer,Retail,Hyderabad,25706.0,Low,Medium
C00007,45,414626.18,0,20,3.111111111111111,0,Kavya Rao,Mass Affluent,Hyderabad,50165.0,Medium,Medium
C00008,24,98068.27,0,5,5.0,0,Anitha Gupta,Mass Affluent,Pune,51752.0,Low,Low
C00009,17,97727.59,0,0,0.0,0,Lakshmi Kumar,Retail,Chennai,26063.0,Low,Low
C00010,26,192137.11000000002,0,20,1.5384615384615385,0,Kavya Gupta,Retail,Bengaluru,43548.0,Medium,Medium
C00011,18,100441.4,0,30,1.6666666666666667,0,Ajay Iyer,Retail,Bengaluru,57234.0,Low,Medium
C00012,20,305992.53,4,70,23.0,4,Deepa Singh,Senior Citizen,Coimbatore,29821.0,Medium,Critical
C00013,18,306866.47000000003,5,70,26.666666666666668,2,Arun Gupta,Retail,Madurai,66300.0,Low,Critical
C00014,34,304260.45,0,30,11.176470588235293,0,Deepa Kumar,Retail,Pune,41915.0,Low,Medium
C00015,22,449022.36,6,70,22.727272727272727,6,Karthik Verma,Mass Affluent,Delhi,30471.0,Low,Critical
C00016,21,135607.69,0,25,6.904761904761905,0,Sanjay Iyer,Mass Affluent,Hyderabad,70828.0,Low,Medium
C00017,17,93788.05,0,25,6.176470588235294,0,Deepa Nair,Retail,Hyderabad,47520.0,Low,Medium
C00018,20,122363.27,0,35,16.0,0,Deepa Reddy,Sme Owner,Bengaluru,72107.0,Low,Medium
C00019,28,179375.59,0,30,1.7857142857142858,0,Vijay Rao,Sme Owner,Hyderabad,28218.0,Low,Medium
C00020,35,255171.62,0,20,1.1428571428571428,0,Vijay Sharma,Mass Affluent,Madurai,58676.0,Low,Medium
C00021,29,554883.7,3,70,10.689655172413794,3,Deepa Sharma,Retail,Mumbai,38199.0,Medium,Critical
C00022,30,242151.46,0,10,10.0,0,Rohit Nair,Sme Owner,Mumbai,76828.0,Medium,Low
C00023,19,191124.32,0,30,3.6842105263157894,0,Divya Singh,Senior Citizen,Chennai,24950.0,Low,Medium
C00024,18,139076.48,0,20,2.2222222222222223,0,Rahul Reddy,Sme Owner,Bengaluru,41307.0,Low,Medium
C00025,46,495487.41000000003,2,40,13.804347826086957,0,Vijay Sharma,Retail,Hyderabad,43811.0,Low,High
C00026,17,271694.2,3,70,13.529411764705882,3,Suresh Nair,Student,Chennai,60610.0,High,Critical
C00027,61,504726.91000000003,0,25,6.311475409836065,0,Pooja Singh,Premium,Pune,177512.0,Low,Medium
