customer_id,customer_name,customer_segment,total_loans,total_loan_value,total_outstanding_balance,average_credit_score,max_days_past_due,defaulted_loans,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level
C00002,Deepa Rao,Mass Affluent,1,1806925.33,1262215.49,776.0,7,0,25,25.0,Medium
C00004,Rahul Singh,Retail,1,109716.15,74916.94,498.0,14,0,70,70.0,Critical
C00005,Vishal Verma,Retail,1,262340.01,82838.0,678.0,17,0,35,35.0,Medium
C00006,Meena Iyer,Retail,1,1645034.15,458940.06,666.0,70,1,70,70.0,Critical
C00008,Anitha Gupta,Mass Affluent,1,899386.34,503658.96,828.0,2,0,25,25.0,Medium
C00010,Kavya Gupta,Retail,1,1094741.95,329562.9,606.0,80,1,70,70.0,Critical
C00011,Ajay Iyer,Retail,1,1349357.03,883309.32,644.0,1,0,35,35.0,Medium
C00012,Deepa Singh,Senior Citizen,1,837582.26,355280.65,727.0,87,1,70,70.0,Critical
C00014,Deepa Kumar,Retail,1,1411273.57,861614.36,677.0,14,0,35,35.0,Medium
C00016,Sanjay Iyer,Mass Affluent,1,803216.17,160136.68,643.0,8,0,35,35.0,Medium
C00022,Rohit Nair,Sme Owner,1,309207.63,0.0,637.0,12,0,50,50.0,High
C00023,Divya Singh,Senior Citizen,1,330362.82,301888.94,568.0,106,1,80,80.0,Critical
C00024,Rahul Reddy,Sme Owner,1,1438784.08,0.0,810.0,16,0,25,25.0,Medium
C00025,Vijay Sharma,Retail,1,1932918.89,1734777.59,653.0,71,1,70,70.0,Critical
C00027,Pooja Singh,Premium,1,1532067.6,1136212.94,702.0,2,0,35,35.0,Medium
C00028,Ajay Reddy,Retail,1,313766.89,56813.11,713.0,11,0,40,40.0,Medium
C00029,Anitha Nair,Premium,1,170380.87,146782.48,758.0,4,0,30,30.0,Medium
C00030,Karthik Reddy,Retail,1,1493194.18,0.0,660.0,7,0,35,35.0,Medium
C00031,Geetha Singh,Sme Owner,1,177889.43,0.0,789.0,5,0,30,30.0,Medium
C00032,Meena Gupta,Senior Citizen,1,610835.37,469092.34,659.0,73,1,70,70.0,Critical
C00033,Vishal Rao,Sme Owner,1,140051.09,56032.61,717.0,56,1,70,70.0,Critical
C00034,Kavya Patel,Senior Citizen,1,1205059.9,622906.49,598.0,8,0,60,60.0,High
C00035,Anitha Nair,Retail,1,483446.12,95548.6,713.0,75,1,70,70.0,Critical
C00036,Naveen Gupta,Senior Citizen,1,821764.67,0.0,731.0,2,0,25,25.0,Medium
C00037,Arun Iyer,Senior Citizen,1,1617073.39,1376328.27,649.0,75,1,70,70.0,Critical
C00039,Suresh Kumar,Retail,1,178020.92,122946.75,787.0,19,0,25,25.0,Medium
C00040,Ajay Reddy,Retail,1,1060372.66,0.0,612.0,7,0,50,50.0,High
C00041,Priya Kumar,Senior Citizen,1,1658375.61,0.0,691.0,2,0,25,25.0,Medium
C00042,Vijay Iyer,Premium,1,315690.63,0.0,740.0,0,0,25,25.0,Medium
C00043,Suresh Gupta,Retail,1,1725290.08,0.0,684.0,4,0,40,40.0,Medium
C00044,Suresh Kumar,Mass Affluent,1,862768.54,685635.27,590.0,70,1,90,90.0,Critical
C00046,Suresh Reddy,Senior Citizen,1,428348.64,206174.17,671.0,19,0,30,30.0,Medium
C00047,Arun Patel,Retail,1,809763.57,584941.83,742.0,16,0,30,30.0,Medium
C00051,Sanjay Patel,Sme Owner,1,1162889.22,221450.26,583.0,16,0,70,70.0,Critical
C00053,Naveen Iyer,Retail,1,156698.04,42145.99,633.0,15,0,60,60.0,High
C00054,Lakshmi Singh,Premium,1,515237.52,384408.67,615.0,70,1,70,70.0,Critical
C00055,Suresh Verma,Sme Owner,1,566489.82,322229.84,778.0,9,0,25,25.0,Medium
C00056,Arun Gupta,Mass Affluent,1,342397.4,141978.28,806.0,1,0,25,25.0,Medium
C00057,Suresh Nair,Mass Affluent,1,312366.27,0.0,663.0,7,0,30,30.0,Medium
C00059,Rahul Verma,Retail,1,2287209.23,2064689.83,729.0,12,0,30,30.0,Medium
C00060,Priya Sharma,Premium,1,172857.12,0.0,609.0,20,0,35,35.0,Medium
C00062,Karthik Iyer,Retail,1,1683156.51,325771.87,567.0,99,1,75,75.0,Critical
C00064,Divya Reddy,Mass Affluent,1,110347.31,39229.85,732.0,19,0,40,40.0,Medium
C00065,Kavya Patel,Mass Affluent,1,1781761.71,0.0,763.0,10,0,35,35.0,Medium
C00068,Pooja Kumar,Student,1,2124040.72,0.0,725.0,9,0,30,30.0,Medium
C00069,Vishal Verma,Sme Owner,1,1616872.32,1003057.91,572.0,6,0,55,55.0,High
C00070,Deepa Gupta,Sme Owner,1,80191.12,21587.27,801.0,3,0,30,30.0,Medium
C00071,Meena Singh,Student,1,493916.76,0.0,604.0,6,0,35,35.0,Medium
C00072,Divya Singh,Premium,1,169813.84,54221.12,716.0,4,0,30,30.0,Medium
C00075,Kavya Reddy,Premium,1,220752.17,164955.58,612.0,11,0,35,35.0,Medium
C00077,Rohit Rao,Mass Affluent,1,119749.78,103825.24,728.0,2,0,30,30.0,Medium
C00079,Vijay Rao,Retail,1,157464.74,76134.44,681.0,2,0,35,35.0,Medium
C00081,Rohit Kumar,Sme Owner,1,179768.64,155310.09,678.0,3,0,40,40.0,Medium
C00085,Rohit Sharma,Senior Citizen,1,2278894.11,0.0,749.0,20,0,25,25.0,Medium
C00088,Ajay Gupta,Mass Affluent,1,82011.9,76634.68,663.0,12,0,35,35.0,Medium
C00090,Lakshmi Gupta,Mass Affluent,1,162399.69,41469.9,555.0,1,0,55,55.0,High
C00091,Kavya Singh,Retail,1,164045.29,66031.61,583.0,100,1,90,90.0,Critical
C00095,Rohit Kumar,Retail,1,1834810.71,1029915.24,654.0,0,0,25,25.0,Medium
C00096,Rohit Sharma,Retail,1,1890256.61,574862.08,682.0,13,0,25,25.0,Medium
C00097,Vishal Singh,Retail,1,1711937.96,1001711.0,619.0,111,1,70,70.0,Critical
C00098,Priya Kumar,Sme Owner,1,181747.13,0.0,727.0,19,0,25,25.0,Medium
C00099,Rohit Gupta,Mass Affluent,1,553134.48,480065.17,721.0,114,1,70,70.0,Critical
C00105,Naveen Kumar,Senior Citizen,1,1206476.89,225936.48,771.0,7,0,25,25.0,Medium
C00107,Lakshmi Patel,Mass Affluent,1,779953.63,692301.19,691.0,3,0,25,25.0,Medium
C00108,Rahul Singh,Mass Affluent,1,975621.03,0.0,789.0,20,0,25,25.0,Medium
