loan_id,customer_id,branch_id,loan_type,loan_start_date,loan_amount,interest_rate_pct,term_months,emi_amount,outstanding_balance,loan_status,default_status,days_past_due,customer_name,customer_segment,annual_income,city,home_branch_id,declared_risk_segment,credit_score,credit_score_band,past_due_accounts,credit_utilization_pct,hard_inquiries_12m,credit_history_years,total_payment_records,total_amount_paid,paid_payments,late_payments,max_days_late,average_days_late,repayment_rate_pct,late_payment_rate_pct,branch_name,city_branch,loan_to_income_ratio,low_credit_score_flag,high_utilization_flag,high_loan_to_income_flag,high_interest_flag,late_payment_flag,poor_repayment_flag,past_due_accounts_flag,high_inquiry_flag,default_flag,loan_risk_score,loan_risk_level,income_band,interest_rate_band,loan_amount_band
L00266,C00091,B018,Education,2024-02-17,164045.29,17.82,84,4388.99,66031.61,Defaulted,Yes,100,Kavya Singh,Retail,79455.0,Bengaluru,B018,Low,583.0,Fair,0.0,99.0,5.0,5.0,21,82505.04000000001,5,21,57,16.761904761904763,23.809523809523807,100.0,Madurai Branch 2,Madurai,2.0646314265936696,1,1,1,1,1,1,0,1,1,90,Critical,High Income,Very High Rate,Small Loan
L00200,C00044,B004,Auto,2022-03-03,862768.54,16.76,60,26429.48,685635.27,Defaulted,Yes,70,Suresh Kumar,Mass Affluent,24889.0,Coimbatore,B004,Low,590.0,Fair,2.0,70.3,8.0,11.0,19,465825.0,8,18,59,19.57894736842105,42.10526315789473,94.73684210526315,Delhi Branch 1,Delhi,34.66465265780064,1,0,1,1,1,1,1,1,1,90,Critical,Low Income,Very High Rate,Large Loan
L00061,C00537,B023,Education,2023-04-05,478270.14,18.1,24,27141.83,162847.55,Defaulted,Yes,70,Sanjay Reddy,Retail,33973.0,Coimbatore,B023,Low,560.0,Fair,0.0,76.1,2.0,7.0,18,458031.63,4,18,52,13.11111111111111,22.22222222222222,100.0,Mumbai Branch 3,Mumbai,14.07794837076502,1,1,1,1,1,1,0,0,1,85,Critical,Low Income,Very High Rate,Large Loan
L00575,C00811,B013,Business,2023-05-06,1350361.48,18.22,24,76768.05,1239937.36,Defaulted,Yes,67,Naveen Rao,Premium,16262.0,Chennai,B013,Low,559.0,Fair,1.0,92.6,4.0,2.0,19,1355253.04,6,19,53,17.105263157894736,31.57894736842105,100.0,Mumbai Branch 2,Mumbai,83.03784774320502,1,1,1,1,1,1,0,0,1,85,Critical,Low Income,Very High Rate,Very Large Loan
L00591,C00548,B016,Business,2023-04-17,431346.41,18.96,60,14004.38,136889.63,Defaulted,Yes,109,Divya Patel,Retail,54273.0,Mumbai,B016,Medium,581.0,Fair,0.0,54.5,6.0,12.0,18,237584.35,7,18,55,14.555555555555555,38.88888888888889,100.0,Pune Branch 2,Pune,7.947716359884288,1,0,1,1,1,1,0,1,1,80,Critical,Upper Middle,Very High Rate,Medium Loan
L00294,C00023,B008,Auto,2023-07-28,330362.82,17.84,48,11793.95,301888.94,Defaulted,Yes,106,Divya Singh,Senior Citizen,24950.0,Chennai,B008,Low,568.0,Fair,1.0,67.6,5.0,4.0,17,184829.08,8,16,46,12.647058823529411,47.05882352941176,94.11764705882352,Madurai Branch 1,Madurai,13.240994789579158,1,0,1,1,1,1,0,1,1,80,Critical,Low Income,Very High Rate,Medium Loan
L00389,C00900,B019,Home,2023-09-20,839763.79,17.2,84,22033.8,321119.29,Defaulted,Yes,48,Rohit Kumar,Senior Citizen,46159.0,Kochi,B019,Low,566.0,Fair,1.0,57.4,8.0,3.0,19,390840.75,10,14,58,14.789473684210526,52.63157894736842,73.68421052631578,Coimbatore Branch 2,Coimbatore,18.192850581685047,1,0,1,1,1,1,0,1,1,80,Critical,Lower Middle,Very High Rate,Large Loan
L00612,C00503,B008,Business,2025-03-25,451724.62,18.39,48,16333.61,379916.64,Defaulted,Yes,44,Pooja Rao,Premium,25420.0,Delhi,B008,Low,575.0,Fair,0.0,44.2,8.0,12.0,17,253608.32,10,15,57,20.647058823529413,58.82352941176471,88.23529411764706,Madurai Branch 1,Madurai,17.77044138473643,1,0,1,1,1,1,0,1,1,80,Critical,Low Income,Very High Rate,Medium Loan
L00375,C00466,B020,Home,2023-11-24,1463386.87,18.73,60,47230.81,686745.07,Defaulted,Yes,33,Divya Patel,Mass Affluent,47791.0,Kolkata,B020,Low,599.0,Fair,1.0,58.4,6.0,11.0,18,781462.28,7,17,59,17.333333333333332,38.88888888888889,94.44444444444444,Kochi Branch 2,Kochi,30.620553451486686,1,0,1,1,1,1,0,1,1,80,Critical,Lower Middle,Very High Rate,Very Large Loan
L00502,C00469,B017,Auto,2024-10-01,93900.27,18.43,36,4050.49,58327.34,Active,No,15,Deepa Verma,Retail,56868.0,Kochi,B017,Medium,582.0,Fair,2.0,81.7,6.0,6.0,23,93338.63,13,21,10,4.739130434782608,56.52173913043478,91.30434782608695,Kolkata Branch 2,Kolkata,1.6511969824857566,1,1,1,1,0,1,1,1,0,80,Critical,Upper Middle,Very High Rate,Small Loan
L00131,C00245,B013,Auto,2024-07-08,1492076.91,16.6,12,144980.14,572495.01,Defaulted,Yes,118,Deepa Nair,Retail,77339.0,Madurai,B013,Low,592.0,Fair,0.0,62.9,2.0,5.0,10,1324467.06,4,10,51,14.4,40.0,100.0,Mumbai Branch 2,Mumbai,19.292684286065246,1,0,1,1,1,1,0,0,1,75,Critical,High Income,Very High Rate,Very Large Loan
L00503,C00959,B023,Business,2023-02-17,1220380.37,19.28,48,45032.04,566227.28,Defaulted,Yes,106,Vishal Patel,Retail,43548.0,Mumbai,B023,Low,500.0,Poor,1.0,44.2,4.0,9.0,20,834379.26,5,20,53,16.0,25.0,100.0,Mumbai Branch 3,Mumbai,28.023798337466705,1,0,1,1,1,1,0,0,1,75,Critical,Lower Middle,Very High Rate,Very Large Loan
L00636,C00387,B018,Auto,2025-09-24,81399.67,18.29,36,3501.77,17900.93,Defaulted,Yes,105,Naveen Singh,Mass Affluent,16811.0,Delhi,B018,Low,586.0,Fair,1.0,38.0,0.0,7.0,10,33829.96,4,10,59,20.4,40.0,100.0,Madurai Branch 2,Madurai,4.842048063767771,1,0,1,1,1,1,0,0,1,75,Critical,Low Income,Very High Rate,Small Loan
L00326,C00062,B012,Auto,2025-04-26,1683156.51,18.86,84,46491.19,325771.87,Defaulted,Yes,99,Karthik Iyer,Retail,52952.0,Pune,B012,Low,567.0,Fair,0.0,27.1,1.0,8.0,14,603547.09,5,13,47,14.928571428571429,35.714285714285715,92.85714285714286,Bengaluru Branch 2,Bengaluru,31.786457735307447,1,0,1,1,1,1,0,0,1,75,Critical,Lower Middle,Very High Rate,Very Large Loan
L00490,C00843,B004,Education,2024-10-14,636241.18,18.01,48,22803.94,140865.65,Defaulted,Yes,81,Lakshmi Singh,Retail,60375.0,Bengaluru,B004,Low,590.0,Fair,1.0,64.8,2.0,6.0,20,403280.13,9,19,49,18.25,45.0,95.0,Delhi Branch 1,Delhi,10.538156190476192,1,0,1,1,1,1,0,0,1,75,Critical,Upper Middle,Very High Rate,Large Loan
L00454,C00362,B008,Personal,2026-04-15,1657255.47,18.47,36,71542.8,1156572.97,Defaulted,Yes,78,Deepa Sharma,Retail,54935.0,Pune,B008,Medium,573.0,Fair,1.0,50.6,2.0,4.0,5,302918.35,2,4,45,16.6,40.0,80.0,Madurai Branch 1,Madurai,30.16757021935014,1,0,1,1,1,1,0,0,1,75,Critical,Upper Middle,Very High Rate,Very Large Loan
